abandonné
éternuer
étiquette
étoile
étrange
étranger
étroit
étude
étudiante
étudier
euro
eux
évier
éviter
exact
exactement
exaction
excellent
exceptionnellement
excuser
Excusez-moi
exemplaire
exemple
exigeant
exigence
exister
expliquer
extension
extérieur
extraordinaire
fabriquer
Façade
face
facile
façon
facteur
faim
faire
faire beau
faire boire
falloir
familiarité
famille
farce
farine
fatigue
fatiguer
faute
fauteuil
faux
Faux pas
favorable
fée
Femme fatale
fenêtre
fer à repasser
fermé
fermer
fermier
fesse
feu
feuille
feutre
fève
Fiancé
ficelle
ficher
fier
figure
fil
file
filer
filet
fille
film
Film noir
fils
fin
finalement
finir
flamme
flaque
fléau
flèche
fleur
fleuriste
flic
flocon
flotter
foin
foire
fois
foncé
fonction
fonctionner
fond
fontaine
force
Force majeure
forêt
formage
formation
forme
formulaire
fort
fou
fouet
fouiller
four
fourchette
fourmi
fourniture
fraise
framboise
frange
frapper
fraternel
frein
fréquemment
frère
frite
froid
fromage
front
fruit
frustrant
fumée
fumer
funèbre
fusée
fusil
gagner
galette
galoper
gamin
gant
garage
garcon
garçon
garçon
garde
garder
gardien
gare
gars
gâteau
Gâteaux
gauche
géant
gelé
geler
gêner
général
genou
Genre
gens
gentil
girafe
glace
glaçon
glisser
gobelet
gomme
gonfler
gorge
gosse
gourde
gourmand
gourmander
gourmandise
gourmet
goût
goûter
goutte
gouttes
gouvernement
grain
graine
graines
grand
grand-mère
grand-mère
grand-parent
grand-père
grand-père
grande
grandir
gratter
gratuit
Grave
grenouille
griffe
griffer
grignoter
griller
grimper
gris
gronder
gros
grosse
grotte
groupe
groupé
grue
guère
guérir
guerrier
guetter
guirlande
gymnastique
habit
habiter
habitude
hamster
hanche
handicapé
haricot
hausse
haut
Haute couture
hé
hein
hélicoptère
herbe
héros
hésiter
heure
heure des mamans
heureux
hibou
hier
hippopotame
hirondelle
histoire
hiver
homme
honneur
honte
hôpital
hôpital
horaire
horloge
horrible
hors
Hors d’œuvre
hôte
hôtel
hôtel
hôtesse
huile
huit
huite
humain
humeur
humide
hurler
hydrater
ici
idée
identité
idiot
ignorer
il
île
ils
image
imaginer
imiter
immature
immense
immeuble
immobile
Impasse
important
importer
impossible
impôt
impraticable
inaccessible
incendie
incongruité
inconvénient
incroyable
indécence
indéterminé
infirmier
infirmière
information
initiative
injure
inonder
inoxydable
inquiéter
inscription
inscrire
inséparable
inspecteur
instable
installer
instant
interdiction
interdire
intéressant
intéressant
intéressé
intéresser
intérêt
intérieur
intérieur
interpréter
intimé
intimité
inutile
invitation
invité
inviter
jaloux
jamais
jambe
jambes
jardiner
jaune
Je ne sais quoi
jean
jeter
jeu
jeudi
jeune
jeux
joie
Joie de vivre
joli
jongler
jonquille
joue
jouer
jouet
jour
journal
journaux
journée
journée
joyeux
juge
jumeau
jupe
jus
kangourou
kiwi
l'
l'âge
l'air / un air
l'amour
l'an
L’animal domestique
l'année
l'argent
l'art
l'attention
l'avance
l'avenir
l’endroit
l’envers
l'état
L’heure
l'impression
lac
lacer
lacet
lâcher
laine
laisse
laisser
Laissez-faire
lait
lampe
lancer
langue
lapin
large
larme
lavabo
lavage
lave-linge
laver
le calendrier
Le carnaval
Le jardin
Le temps
lécher
lecture
léger
légume
lent
les
Les animaux
Les autres - complet
Les sorties
lessive
lettre
lever
lèvres
lézard
liaison
lieu
lieutenant
ligne
linge
Lingerie
lion
liquide
lire
lisse
liste
lit
litre
livre
loi
long
louche
loup
loupe
lourd
luge
lugubre
lumière
lumière
lundi
lune
lunette
lunettes
lutin
lutter
lycée
ma
machine
madame
magasin
magicien
magie
maigre
maillot
mains
maintenant
maison
maître
Maître d’hôtel
maîtresse
mal
malade
maladie
maladroit
malaise
malentendu
malgré
maman
manche
manège
manger
manière
manière
manquer
manteau
maquillage
maquiller
marchand
marche
marché
marcher
marcher à quatre pattes
marcher sur
mardi
mari
mariage
marié
marin
marionnette
marron
marteau
masque
match
matelas
maternelle
matin
mauvais
me
mec
méchant
médecin
médecin
médicament
méfait
méfiance
meilleur
mélancolique
mélanger
melon
même
ménage
Ménage à trois
ménagement
ménager
mener
mensonge
mentir
menton
Menu
mer
mercredi
mère
message
mesure
mesurer
métal
météo
mètre
métro
mettre
mettre du temps
meuble
midi
mie
mieux
mignon
mignonne
milieu
mille
million
mince
mine
ministre
minuit
minute
Mirage
mission
mixer
mixte
mode
moineau
moins
mois
moitié
moitié
moment
momentané
monde
monnaie
monsieur
monstre
montagne
montant
monter
montre
montrer
monument
morceau
mordre
morose
mort
mot
moteur
moto
mouchoir
mouette
moufle
mouillé
mouiller
moule
moulin
mourir
mousse
moustache
moustique
moyen
muet
muette
muguet
multicolore
municipal
municipaux
mur
mur d’escalade
mûre
muscle
muscler
musee
muton
nage
nager
nain
naître
nappe
natation
navet
navette
navire
navrant
né
ne pas oublier
neige
neiger
nettement
nettoyer
neuf
nez
nid
Noël
nœud
noir
noisette
noix
Nom de plume
note
nourrir
nourriture
nouveau
Nouveau riche
noyau
nu
nuage
nuageux
nuit
numéro
numéro
obéir
objet
obligatoire
obliger
observer
obstacle
occupé
odeur
oeil
œil
œuf
offrir
ogre
oignon
ombre
Omelette
ongle
onze
or
orage
orange
ordonnance
ordre
oreille
oreiller
organiser
original
os
oublier
ouragan
ours
outil
ouvert
ouvrier
ouvrir
ouvrir un livre
pache
page
paille
pain
paire
paix
palais
pâle
pamplemousse
panda
panier
panne
panneau
pansement
pantalon
panthère
papa
papier
Papier mâché
papillon
pâquerette
paquet
Par excellence
parallèlement
parapluie
parasol
parc
parcours
pardon
pareil
parent
parfois
parfum
parking
parler
parole
part
partager
particulier
particulièrement
partie
partir
pas
passage
passer
passerelle
patauger
pâte
pâte à modeler
pâtes
patient
pâtisserie
patron
patte
pauvreté
pays
paysage
peau
pêche
pêcheur
pédagogique
pédale
pédaler
peigne
peindre
peinture
pelle
peluche
pendule
pénible
penser
pente
percer
perdre
perdu
père
péripétie
perle
permettre
perroquet
persil
personne
peser
petit
petit pois
petit-enfant
petit-fils
Petite
petite-fille
peu
peur
peut-être
phoque
photo
photographier
pièce
pièce
pied
pieds
piège
pierre
pigion
pile
pilote
pin
pinceau
pion
pique-niquer
piquer
piqûre
pire
piscine
pitié
placard
place
plafond
plage
plaire
plaisanter
plaisir
plan
planche
planter
plat
plateau
plâtre
plein
pleurer
pleuvoir
pli
pliage
plier
plongeoir
plonger
pluie
plurielle
plus
plusieurs
pluvieux
pneu
poêle
poignet
point
pointe
pointu
poire
poireau
poison
poisson
poli
police
politesse
pomme
pomme de terre
pompe
ponctuel
pont
port
porte
portemanteau
porter
portière
poser
Possible
poste
pot
Pot-pourri
potage
pote
poubelle
pouf
poulet
poupée
pour
pourcentage
pourquoi
poursuivre
pourvoir
pousser
poussette
poussière
pouvoir
pratique
préau
précaire
précéder
préciser
préférer
préférer
préjudice
prélèvement
premier
prendre
préparer
préparer
Préposition :
Prépositions : à
Prépositions : à côté de
Prépositions : chez
près
près de
présent
présent
présenter
présenter
président
presque
presser
prêt
prêt
Prêt-à-porter
prêter
preuve
prié
prince
princesse
prioritaire
prise
prison
priver
prix
problème
prochain
proche
professeur
profiter
profond
projet
promettre
propos
proposer
propre
Protégé
protéger
provisoire
prudent
prune
publicité
puis
punir
purée
puzzle
quai
quartier
quatre
quérulence
question
Queue
quinze
rabais
raconter
radiateur
radio
radis
rage
ramasser
ramer
rampe
ramper
randonnée
rang
rangée
ranger
râpe
râper
rapide
rappeler
rapport
raquette
rasoir
râteau
rater
ravir
rayon
rayure
réaliser
recette
recevoir
recherche
réciter
recommencer
reconnaître
reconnaïtre
recoudre
récréation
reculer
récupérer
réduction
réfléchir
réfrigérateur
refuser
regard
regarder
règle
regler
régler
regret
regrettable
regretter
rejoindre
relation
remarquer
remercier
remettre
remise
remonter
remplacer
rempli
remplir
remuer
renard
rencontrer
Rendez-vous
Rendre
renne
renouveler
rentrée
rentrer
renverser
renvoyer
réparer
réparer
repas
repasser
répéter
répondre
réponse
reposant
reprendre
représentation
représenter
reproche
requin
réserver
respecter
respirer
ressembler
ressembler à
ressentir
restaurant
reste
rester
retard
retarder
retenir
retirer
retour
retourner
retrouver
réunir
réussir
rêve
réveil
revenir
rêver
rêveur
revoir
rhinocéros
riche
rideau
Ridicule
rire
risque
robe
robinet
rochelle
rocher
roi
rôle
rond
rondelle
ronfler
ronger
rose
rosé
roue
rouge
rouleau
rouler
route
roux
RSVP
rue
rugueux
s’amuser
s’appeler
s’appuyer
s’asseoir
s’échapper
s’écorcher
s’éloigner
s’embrasser
s’endormir
s’ennuyer
s’envoler
s’excuser
s’habiller
s’imaginer
s’installer
s’occuper de
sable
Sabotage
sac
sac en plastique
sage
saigner
saison
sal
Salade
Salade de fruits
saladier
sale
salle
saluer
samedi
sang
Sans
Sans fard
santé
sapin
sardine
sauf
Sauté
sauter
sauver
savoir
Savoir-faire
savon
scène
scie
se baigner
se balancer
se battre
se blesser
se blottir
se brûler
se cacher
se chausser
se cogner
se coiffer
se coucher
se couvrir
se croiser
se dégonfler
se dépêcher
se déshabiller
se détester
se disputer
se fâcher
se faner
se garer
se gratter
se lever
se maquiller
se marier
se mettre debout
se moquer
se moucher
se mouiller
se pencher
se percher
se perdre
se pincer
se plaindre
se poser
se presser
se promener
se protéger
se quitter
se rappeler
se raser
se réchauffer
se régaler
se reposer
se retourner
se réveiller
se salir
se sauver
se sécher
se serrer
se servir
se toucher
se tromper
se trouver
seau
sec
sécher
seconde
secouer
secours
secret
secrétaire
seize
sel
selon
semaine
sembler
sens
sentiment
sentir
séparer
séparer
sept
sérieux
sérieux
serré
serrer
serrure
service
serviette
servir
ses
seul
seul / seule
seulement
shampoing
siège
sieste
siffler
sifflet
signe
signer
signifier
silence
Silhouette
simple
simplement
singe
singulier
sinistre
situation
six
ski
société
soeur
sœur
soif
soigner
soin
soir
Soirée
soirée
sole
soleil
solide
sombre
Sommelier
sommet
son
sonner
sonore
sorte
sortir
Soufflé
souffler
souffrir
souhaite
souhaiter
soulever
souligner
soupe
Soupe aux légumes
souple
sourcil
sourd
sourire
souris
sous
soutien
Souvenir
souvent
spécial
spectacle
squelette
stigmate
stupide
stylo
subir
subsister
sucer
sucre
suffire
suffisamment
suite
suivant
suivre
suivre (chronologie)
sujet
super
supplémentaire
supporter
supposer
sur
surment
surpris
surprise
surtout
surveiller
survivre
sympa
sympathique
système
table
tablier
tâche
tampon
tandis que
tante
taper
taper sur
tard
tarif
tarte
tartine
tartines grillées
tas
tasse
tâter
taupe
taxi
tel
téléphone
téléphoner
telle
tellement
témoin
tempête
temps
tendre
tenit
tente
tenter
tenue
terminer
terrain
terre
terrible
terrier
tes
Tête à tête
téter
thé
théâtre
thermomètre
ticket
tiens
tige
tigre
tirer
tissu
titre
toilettes
toillette
toit
tomber
tonnerre
torchon
tordu
tort
tôt
tôt
Touché
toucher
toujours
tourner
tournevis
tousser
tout
tout de suite
toute
tracas
train
traîneau
traîner
traîner
traire
traiter
tranche
tranquille
transparent
transpirer
transporter
travail
travailler
travers
traverser
trembler
tremper
trente
très
trésor
treze
tricher
tricoter
tricycle
triste
trois
troisième
Trompe l’œil
tromper
trop
trottoir
trou
trouer
trous
trousse
trouver
truc
tu
tube
tuer
tuyau
type
Un accident
univers
usé
usine
utile
utiliser
vacance
vacances
vague
vaisselle
valoriser
vase
véhicule
vélo
vendre
vendredi
venir
vent
venter
ver
verifier
vérifier
verre
vers
verser
vert
victime
vide
vider
vieux
vigilant
vignoble
village
ville
vin
Vinaigrette
vingt
vinneois
virage
vis
visage
visite
visiter
vite
vitesse
vivant
vivre
Voilà
voile
voir
voiture
voix
vol
voler
voleur
vouloir
voyage
Voyeur
vraiment
vue
wagon
yaourt
yeux
zèbre
zero
zigzag
zoo
l’autre
puisque
ensuite
contre
quand
côté
doute
Elles
on
nous
vous
ils
Elles
janvier
février
mars
avril
mai
juin
juillet
août
septembre
octobre
novembre
décembre
lundi
mardi
mercredi
jeudi
vendredi
samedi
dimanche
Amusant
Drôle
Marrant
Intéressant
Ennuyeux
Barbant
Sain
Fatigant
Passionnant
Difficile
Facile
Rapide
Lent
Cher
Bon marché 
Confortable
Reposant
Actif
Génial
Chouette
Fantastique
Excellent
Nul
Horrible
quarante
cinquante
soixante
soixante-dix
quatre-vingts
quatre-vingt-dix
cent
mille
million
